18823.924044772062,295.29,291.35,293.62,292.543,5121,553090,1567022400
11621.870690348404,295,290.691,292.551,294.5,3032,340642,1567026000
15885.994880545248,295.951,292.909,294.465,295.92,3332,468162,1567029600
12663.117258465047,296,293.623,295.92,294.361,2798,373098,1567033200
25397.627152993646,294.451,291.2,294.362,292.503,4713,742958,1567036800
27734.770523932806,293.157,288.1,292.503,290.696,5325,807300,1567040400
23909.6570972514,292.236,288.3,290.699,289.629,4740,694058,1567044000
58710.40742021034,289.961,285,289.691,288.731,9472,1686200,1567047600
21062.197655948257,290.732,287.773,288.732,289.328,4483,608754,1567051200
23932.766261989,290,285.59,289.245,286.98,4752,688476,1567054800
37607.41209687751,287.092,282.605,287.09,285.347,6522,1071574,1567058400
62082.286953544004,285.461,278.074,285.348,284.286,10030,1753032,1567062000
34711.65852174974,287.145,283.45,284.267,283.5,6036,991528,1567065600
20672.909402206496,286.701,283.296,283.5,284.782,4117,589928,1567069200
16705.560573730152,285.111,283.603,284.784,283.925,3773,474806,1567072800
23934.928080535352,285.091,281.333,283.942,283.021,4217,677972,1567076400
35343.88247780535,284.327,280.05,283.03,282.562,6135,998656,1567080000
15098.724558480028,284.244,282.022,282.639,282.138,3125,427488,1567083600
46570.61474799474,282.879,276,282.137,279.198,6614,1305202,1567087200
37390.939408366736,284.619,278.995,279.198,282.898,4709,1055424,1567090800
amount,High,Low,Open,Close,count,vol,id
18823.924044772062,295.29,291.35,293.62,292.543,5121,553090,1567022400
11621.870690348404,295,290.691,292.551,294.5,3032,340642,1567026000
15885.994880545248,295.951,292.909,294.465,295.92,3332,468162,1567029600
12663.117258465047,296,293.623,295.92,294.361,2798,373098,1567033200
25397.627152993646,294.451,291.2,294.362,292.503,4713,742958,1567036800
27734.770523932806,293.157,288.1,292.503,290.696,5325,807300,1567040400
23909.6570972514,292.236,288.3,290.699,289.629,4740,694058,1567044000
58710.40742021034,289.961,285,289.691,288.731,9472,1686200,1567047600
21062.197655948257,290.732,287.773,288.732,289.328,4483,608754,1567051200
23932.766261989,290,285.59,289.245,286.98,4752,688476,1567054800
37607.41209687751,287.092,282.605,287.09,285.347,6522,1071574,1567058400
62082.286953544004,285.461,278.074,285.348,284.286,10030,1753032,1567062000
34711.65852174974,287.145,283.45,284.267,283.5,6036,991528,1567065600
20672.909402206496,286.701,283.296,283.5,284.782,4117,589928,1567069200
16705.560573730152,285.111,283.603,284.784,283.925,3773,474806,1567072800
23934.928080535352,285.091,281.333,283.942,283.021,4217,677972,1567076400
35343.88247780535,284.327,280.05,283.03,282.562,6135,998656,1567080000
15098.724558480028,284.244,282.022,282.639,282.138,3125,427488,1567083600
46570.61474799474,282.879,276,282.137,279.198,6614,1305202,1567087200
39249.28746776462,284.619,278.995,279.198,282.627,5002,1107932,1567090800
18823.924044772062,295.29,291.35,293.62,292.543,5121,553090,1567022400
11621.870690348404,295,290.691,292.551,294.5,3032,340642,1567026000
15885.994880545248,295.951,292.909,294.465,295.92,3332,468162,1567029600
12663.117258465047,296,293.623,295.92,294.361,2798,373098,1567033200
25397.627152993646,294.451,291.2,294.362,292.503,4713,742958,1567036800
27734.770523932806,293.157,288.1,292.503,290.696,5325,807300,1567040400
23909.6570972514,292.236,288.3,290.699,289.629,4740,694058,1567044000
58710.40742021034,289.961,285,289.691,288.731,9472,1686200,1567047600
21062.197655948257,290.732,287.773,288.732,289.328,4483,608754,1567051200
23932.766261989,290,285.59,289.245,286.98,4752,688476,1567054800
37607.41209687751,287.092,282.605,287.09,285.347,6522,1071574,1567058400
62082.286953544004,285.461,278.074,285.348,284.286,10030,1753032,1567062000
34711.65852174974,287.145,283.45,284.267,283.5,6036,991528,1567065600
20672.909402206496,286.701,283.296,283.5,284.782,4117,589928,1567069200
16705.560573730152,285.111,283.603,284.784,283.925,3773,474806,1567072800
23934.928080535352,285.091,281.333,283.942,283.021,4217,677972,1567076400
35343.88247780535,284.327,280.05,283.03,282.562,6135,998656,1567080000
15098.724558480028,284.244,282.022,282.639,282.138,3125,427488,1567083600
46570.61474799474,282.879,276,282.137,279.198,6614,1305202,1567087200
39268.394733724635,284.619,278.995,279.198,282.55,5009,1108472,1567090800
18823.924044772062,295.29,291.35,293.62,292.543,5121,553090,1567022400
11621.870690348404,295,290.691,292.551,294.5,3032,340642,1567026000
15885.994880545248,295.951,292.909,294.465,295.92,3332,468162,1567029600
